School,G,W,L,W-L%,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year,NCAABirth,END,Seed
Butler ,36,29,7,0.806,14.34,3.94,2434,2056,,,0.406,0.486,0.569,48.8,56,,3.8,0.525,13.8,,0.309,2007,NCAA,Butler ,5
Central Connecticut State ,34,22,12,0.647,-3.63,-6.48,2344,2247,,,0.378,0.378,0.545,51.4,53.7,,6.1,0.505,18.3,,0.276,2007,NCAA,Central Connecticut State ,16
Creighton ,33,22,11,0.667,12.57,6.24,2220,2011,,,0.427,0.365,0.555,51.5,59.6,,4.9,0.507,17.3,,0.322,2007,NCAA,Creighton ,10
Davidson ,34,29,5,0.853,8.31,-2.26,2765,2336,,,0.307,0.412,0.559,54.4,57.7,,4.6,0.525,16.7,,0.231,2007,NCAA,Davidson ,13
Duke ,33,22,11,0.667,18.85,10.49,2323,2047,,,0.398,0.296,0.557,53.7,52.7,,8.7,0.525,19.6,,0.274,2007,NCAA,Duke ,6
Eastern Kentucky ,33,21,12,0.636,-4.19,-5.28,2151,2089,,,0.281,0.448,0.561,46.7,61,,4.9,0.541,18.9,,0.191,2007,NCAA,Eastern Kentucky ,16
Florida A&M ,35,21,14,0.6,-9.73,-7.49,2467,2467,,,0.455,0.309,0.539,52.5,56.4,,3.1,0.505,21.4,,0.301,2007,NCAA,Florida A&M ,16
Florida ,40,35,5,0.875,23.82,7.34,3193,2504,,,0.438,0.34,0.618,56.4,54.6,,8.4,0.596,18,,0.302,2007,NCAA,Florida ,1
George Washington ,32,23,9,0.719,5.61,0.64,2247,2067,,,0.34,0.258,0.538,50.6,56.1,,8.5,0.506,17.5,,0.238,2007,NCAA,George Washington ,11
Georgetown ,37,30,7,0.811,19.62,9.48,2555,2146,,,0.365,0.348,0.596,54.3,59,,9.8,0.57,18.8,,0.26,2007,NCAA,Georgetown ,2
Georgia Tech ,32,20,12,0.625,17.17,9.36,2515,2222,,,0.342,0.283,0.567,54.3,52.5,,6.7,0.542,18.5,,0.233,2007,NCAA,Georgia Tech ,10
Gonzaga ,34,23,11,0.676,12.15,3.77,2668,2383,,,0.394,0.302,0.582,52.7,52.7,,6.1,0.542,17.1,,0.296,2007,NCAA,Gonzaga ,10
Holy Cross ,34,25,9,0.735,3.32,-3.06,2171,1954,,,0.405,0.321,0.537,53.6,62.7,,7.8,0.492,20.5,,0.297,2007,NCAA,Holy Cross ,13
Illinois ,35,23,12,0.657,14.18,7.09,2245,1997,,,0.372,0.378,0.521,54,61.8,,5.7,0.498,18.6,,0.232,2007,NCAA,Illinois ,12
Indiana ,32,21,11,0.656,16.78,8.35,2246,1976,,,0.344,0.377,0.55,51.9,54.2,,8.9,0.518,16.2,,0.244,2007,NCAA,Indiana ,7
Jackson State ,35,21,14,0.6,-12.28,-9.94,2490,2572,,,0.36,0.294,0.505,48.2,53.4,,5.4,0.463,17.9,,0.256,2007,NCAA,Jackson State ,16
Kansas ,38,33,5,0.868,22.62,6.86,2978,2344,,,0.362,0.261,0.567,54.6,58.9,,11.5,0.545,17,,0.239,2007,NCAA,Kansas ,1
Kentucky ,34,22,12,0.647,17.12,11.41,2496,2302,,,0.369,0.348,0.568,52.3,60.3,,7.9,0.538,18.3,,0.26,2007,NCAA,Kentucky ,8
Long Beach State ,32,24,8,0.75,2.24,-2.07,2575,2408,,,0.35,0.365,0.554,49.4,50.1,,4.7,0.523,16.1,,0.246,2007,NCAA,Long Beach State ,12
Louisville ,34,24,10,0.706,16.08,7.69,2433,2144,,,0.374,0.386,0.531,51.4,58.6,,8.1,0.498,15.9,,0.253,2007,NCAA,Louisville ,6
Marquette ,34,24,10,0.706,14.14,6.95,2443,2207,,,0.401,0.334,0.526,52.4,55.8,,6.4,0.492,17.6,,0.269,2007,NCAA,Marquette ,8
Maryland ,34,25,9,0.735,19.06,7.59,2685,2295,,,0.387,0.25,0.558,51.3,60.5,,11,0.526,18.4,,0.269,2007,NCAA,Maryland ,4
Memphis ,37,33,4,0.892,19.72,3.91,2918,2333,,,0.424,0.352,0.54,53.6,52.4,,10.8,0.517,15.4,,0.263,2007,NCAA,Memphis ,2
Miami (OH) ,33,18,15,0.545,4.81,2.78,1962,1895,,,0.318,0.325,0.545,49.7,58.5,,8.2,0.514,19.4,,0.226,2007,NCAA,Miami (OH) ,14
Michigan State ,35,23,12,0.657,16.3,8.45,2276,2001,,,0.391,0.283,0.559,55.6,69.5,,9.3,0.522,20.4,,0.281,2007,NCAA,Michigan State ,9
Nevada-Las Vegas ,37,30,7,0.811,12.98,5.37,2772,2470,,,0.333,0.364,0.543,49.8,56,,9.7,0.51,13.9,,0.238,2007,NCAA,Nevada-Las Vegas ,7
Nevada ,34,29,5,0.853,10.58,1.09,2632,2296,,,0.324,0.318,0.582,54.6,60,,7.2,0.548,16.6,,0.245,2007,NCAA,Nevada ,7
New Mexico State ,34,25,9,0.735,5.04,0.01,2652,2462,,,0.516,0.271,0.564,53.4,52.1,,4.8,0.532,19.6,,0.339,2007,NCAA,New Mexico State ,13
Niagara ,35,23,12,0.657,-3.41,-4.7,2654,2609,,,0.388,0.376,0.527,52.6,52.5,,2.6,0.483,15.8,,0.283,2007,NCAA,Niagara ,16
North Carolina ,38,31,7,0.816,26.41,9.3,3258,2608,,,0.395,0.252,0.577,55.8,58.6,,7.5,0.544,15.6,,0.281,2007,NCAA,North Carolina ,1
North Texas ,34,23,11,0.676,-3.11,-6.59,2617,2420,,,0.404,0.3,0.541,53.7,46.4,,7.8,0.512,18.2,,0.266,2007,NCAA,North Texas ,15
Notre Dame ,32,24,8,0.75,16.94,4.97,2592,2176,,,0.403,0.388,0.575,52.9,63.5,,5.8,0.535,15.5,,0.3,2007,NCAA,Notre Dame ,6
Ohio State ,39,35,4,0.897,21.54,9.03,2905,2417,,,0.366,0.365,0.568,52.1,56.7,,9.7,0.538,14.8,,0.257,2007,NCAA,Ohio State ,1
Old Dominion ,33,24,9,0.727,7.83,0.44,2290,2046,,,0.363,0.371,0.534,52.9,61.3,,6.6,0.495,15.9,,0.262,2007,NCAA,Old Dominion ,12
Oral Roberts ,34,23,11,0.676,4.54,-1.04,2440,2206,,,0.468,0.32,0.565,53.3,55.7,,8.1,0.524,19.2,,0.333,2007,NCAA,Oral Roberts ,14
Oregon ,37,29,8,0.784,15.95,6.3,2807,2450,,,0.328,0.421,0.57,51.5,53.3,,3.6,0.534,15.8,,0.249,2007,NCAA,Oregon ,3
Pennsylvania ,31,22,9,0.71,4.16,-1.64,2297,2100,,,0.384,0.304,0.567,49.8,64.5,,5.4,0.543,17.6,,0.255,2007,NCAA,Pennsylvania ,14
Pittsburgh ,37,29,8,0.784,16.99,8.53,2637,2324,,,0.361,0.294,0.553,53.5,67.3,,6.6,0.529,15.6,,0.239,2007,NCAA,Pittsburgh ,3
Purdue ,34,22,12,0.647,14.65,8.89,2376,2154,,,0.379,0.335,0.549,50.9,55.2,,5.1,0.519,18,,0.257,2007,NCAA,Purdue ,9
Southern California ,37,25,12,0.676,13.78,7.87,2656,2413,,,0.392,0.263,0.563,50,49.9,,6.8,0.528,18.6,,0.28,2007,NCAA,Southern California ,5
Southern Illinois ,36,29,7,0.806,13.59,7.53,2266,2023,,,0.439,0.36,0.551,51.4,54.3,,7.4,0.514,19.7,,0.304,2007,NCAA,Southern Illinois ,4
Stanford ,31,18,13,0.581,11.16,9.06,2156,2081,,,0.36,0.287,0.53,54.2,59.1,,10.4,0.498,18.4,,0.245,2007,NCAA,Stanford ,11
Tennessee ,35,24,11,0.686,14.97,9.15,2831,2627,,,0.379,0.409,0.548,49.2,55.7,,5.4,0.523,16.1,,0.248,2007,NCAA,Tennessee ,5
Texas A&M-Corpus Christi ,33,26,7,0.788,3.07,-4.8,2615,2302,,,0.485,0.274,0.608,54.9,65.2,,5.2,0.577,20,,0.343,2007,NCAA,Texas A&M-Corpus Christi ,15
Texas A&M ,34,27,7,0.794,21.27,5.13,2570,2021,,,0.413,0.28,0.589,53.6,65.1,,6.2,0.557,16,,0.296,2007,NCAA,Texas A&M ,3
Texas Tech ,34,21,13,0.618,9.71,7.16,2437,2349,,,0.397,0.272,0.552,46.5,53.7,,3.3,0.509,15.2,,0.293,2007,NCAA,Texas Tech ,10
Texas ,35,25,10,0.714,15.6,6.12,2860,2528,,,0.393,0.366,0.557,51.4,49.7,,9,0.516,14.5,,0.289,2007,NCAA,Texas ,4
UCLA ,36,30,6,0.833,20.9,9.84,2503,2081,,,0.328,0.332,0.563,52.4,54.9,,6.4,0.543,16.5,,0.217,2007,NCAA,UCLA ,2
Vanderbilt ,34,22,12,0.647,12.76,7.79,2594,2387,,,0.324,0.425,0.567,48.4,63.9,,4.8,0.536,15.6,,0.236,2007,NCAA,Vanderbilt ,6
Villanova ,33,22,11,0.667,16.13,9.16,2392,2132,,,0.417,0.385,0.546,53.3,54.1,,6.3,0.492,17.1,,0.325,2007,NCAA,Villanova ,9
Virginia Commonwealth ,35,28,7,0.8,9.5,0.2,2626,2298,,,0.404,0.309,0.559,50.9,52.7,,5.9,0.519,14.4,,0.294,2007,NCAA,Virginia Commonwealth ,11
Virginia Tech ,34,22,12,0.647,14.35,8.26,2428,2181,,,0.394,0.237,0.54,49.6,50.7,,8.7,0.511,14.2,,0.26,2007,NCAA,Virginia Tech ,5
Virginia ,32,21,11,0.656,12.89,7.96,2463,2267,,,0.422,0.38,0.552,53.1,50.7,,5.4,0.506,16.4,,0.313,2007,NCAA,Virginia ,4
Washington State ,34,26,8,0.765,13.33,6,2273,2024,,,0.334,0.297,0.552,48.2,57.1,,8.8,0.52,14.7,,0.239,2007,NCAA,Washington State ,3
Weber State ,32,20,12,0.625,-4.03,-3.33,2266,2214,,,0.511,0.289,0.577,50.7,56.6,,4.3,0.546,20.8,,0.343,2007,NCAA,Weber State ,15
Winthrop ,34,29,5,0.853,9.17,-1.2,2545,2088,,,0.349,0.399,0.564,54.8,61.4,,6.9,0.549,16.5,,0.218,2007,NCAA,Winthrop ,11
Wisconsin ,36,30,6,0.833,19.28,6.95,2527,2083,,,0.45,0.317,0.552,53.5,57,,6.2,0.515,15.1,,0.309,2007,NCAA,Wisconsin ,2
Wright State ,33,23,10,0.697,1.94,-0.31,2125,2051,,,0.322,0.297,0.527,49.5,52.5,,2.9,0.489,16.5,,0.236,2007,NCAA,Wright State ,14
Xavier ,34,25,9,0.735,14.18,3.39,2595,2228,,,0.475,0.386,0.593,51.9,59.8,,6.3,0.551,16.4,,0.352,2007,NCAA,Xavier ,9
American ,33,21,12,0.636,-1.87,-4,2140,2049,,,0.413,0.402,0.564,52.2,55.9,,5.3,0.522,19.4,,0.305,2008,NCAA,American ,15
Arizona ,34,19,15,0.559,14.55,10.22,2443,2276,,,0.406,0.321,0.58,48.8,62.4,,6.3,0.54,16.4,,0.304,2008,NCAA,Arizona ,10
Arkansas ,35,23,12,0.657,12.48,6.73,2593,2392,,,0.379,0.303,0.549,53.1,54,,9.3,0.519,18.4,,0.257,2008,NCAA,Arkansas ,9
Austin Peay ,35,24,11,0.686,-2.21,-5.24,2590,2477,,,0.443,0.373,0.558,48,58.6,,4,0.517,15.9,,0.317,2008,NCAA,Austin Peay ,15
Baylor ,32,21,11,0.656,11.46,5.75,2601,2396,,,0.359,0.367,0.561,49.9,43.2,,7.2,0.524,14.8,,0.267,2008,NCAA,Baylor ,11
Belmont ,34,25,9,0.735,-0.12,-3.44,2714,2497,,,0.332,0.471,0.564,51.1,62.6,,3.3,0.537,17.2,,0.231,2008,NCAA,Belmont ,15
Boise State ,34,25,9,0.735,1.6,-2.07,2767,2567,,,0.393,0.353,0.596,51.7,60.9,,3.8,0.577,18.7,,0.26,2008,NCAA,Boise State ,14
Brigham Young ,35,27,8,0.771,11.82,1.33,2580,2213,,,0.374,0.388,0.556,53,64.8,,6.6,0.532,17.5,,0.245,2008,NCAA,Brigham Young ,8
Butler ,34,30,4,0.882,13,2.64,2339,1985,,,0.367,0.485,0.576,48.9,57.3,,4.9,0.541,14.8,,0.271,2008,NCAA,Butler ,7
Cal State Fullerton ,33,24,9,0.727,5.64,-3.06,2700,2398,,,0.323,0.36,0.568,50.7,51.8,,2.7,0.542,15.8,,0.227,2008,NCAA,Cal State Fullerton ,14
Clemson ,34,24,10,0.706,18.05,9.08,2693,2372,,,0.309,0.332,0.536,51.5,53.5,,9.4,0.518,16.7,,0.193,2008,NCAA,Clemson ,5
Connecticut ,33,24,9,0.727,15.54,6.76,2556,2266,,,0.481,0.247,0.553,54.2,56.2,,13.1,0.506,16.3,,0.347,2008,NCAA,Connecticut ,4
Coppin State ,37,16,21,0.432,-14.51,-6.2,2212,2443,,,0.372,0.24,0.485,46.5,44.8,,4,0.437,19.1,,0.265,2008,NCAA,Coppin State ,16
Cornell ,28,22,6,0.786,0.76,-4.74,2136,1917,,,0.33,0.357,0.591,50.3,56.3,,5.6,0.558,17.4,,0.251,2008,NCAA,Cornell ,14
Davidson ,36,29,7,0.806,13.93,1.66,2803,2274,,,0.261,0.41,0.567,52.4,59.6,,6.1,0.544,14.7,,0.187,2008,NCAA,Davidson ,10
Drake ,33,28,5,0.848,14.08,4.15,2440,2050,,,0.359,0.459,0.57,52.2,59.4,,4.9,0.531,15.4,,0.272,2008,NCAA,Drake ,5
Duke ,34,28,6,0.824,21.52,9.28,2830,2361,,,0.409,0.392,0.569,50.1,51.6,,6.6,0.536,15.7,,0.285,2008,NCAA,Duke ,2
George Mason ,34,23,11,0.676,6.07,-0.75,2356,2124,,,0.398,0.332,0.557,52.8,53.8,,5.8,0.523,16.1,,0.28,2008,NCAA,George Mason ,12
Georgetown ,34,28,6,0.824,18.73,7.23,2367,1976,,,0.34,0.402,0.584,52.1,61.6,,8.9,0.567,18.4,,0.222,2008,NCAA,Georgetown ,2
Georgia ,34,17,17,0.5,7.24,7.03,2314,2290,,,0.324,0.316,0.513,52.8,47.1,,6,0.482,18.3,,0.22,2008,NCAA,Georgia ,14
Gonzaga ,33,25,8,0.758,14.81,2.15,2524,2106,,,0.397,0.319,0.578,53.7,53.7,,8.2,0.545,17.8,,0.283,2008,NCAA,Gonzaga ,7
Indiana ,33,25,8,0.758,15.78,6.08,2476,2156,,,0.419,0.349,0.569,54.6,52,,6.7,0.523,17.1,,0.318,2008,NCAA,Indiana ,8
Kansas State ,33,21,12,0.636,15.79,7.79,2574,2274,,,0.374,0.32,0.529,55.6,55.8,,6,0.494,17.1,,0.257,2008,NCAA,Kansas State ,11
Kansas ,40,37,3,0.925,26.9,8.2,3221,2460,,,0.368,0.295,0.592,55.6,61.3,,10.4,0.567,16.3,,0.258,2008,NCAA,Kansas ,1
Kent State ,35,28,7,0.8,7.47,0.41,2412,2165,,,0.412,0.305,0.558,51,57.8,,7.3,0.52,19.3,,0.294,2008,NCAA,Kent State ,9
Kentucky ,31,18,13,0.581,9.19,7.09,2124,2034,,,0.411,0.315,0.567,51.2,53.7,,8.8,0.527,20.7,,0.301,2008,NCAA,Kentucky ,11
Louisville ,36,27,9,0.75,19,8,2611,2215,,,0.365,0.387,0.553,52,58.2,,8.9,0.531,17.2,,0.236,2008,NCAA,Louisville ,3
Marquette ,35,25,10,0.714,18.62,8.09,2658,2269,,,0.377,0.335,0.541,51.9,55.4,,7,0.505,15.5,,0.266,2008,NCAA,Marquette ,6
Maryland-Baltimore County ,33,24,9,0.727,0.06,-4.53,2450,2258,,,0.332,0.33,0.549,49.2,57.5,,6,0.515,12.5,,0.241,2008,NCAA,Maryland-Baltimore County ,15
Memphis ,40,38,2,0.95,23.73,5.76,3196,2477,,,0.404,0.352,0.546,54.1,55.7,,10.7,0.527,13.8,,0.248,2008,NCAA,Memphis ,1
Miami (FL) ,34,23,11,0.676,12.38,7.13,2542,2309,,,0.386,0.309,0.541,51.4,52,,8,0.496,16.2,,0.288,2008,NCAA,Miami (FL) ,7
Michigan State ,36,27,9,0.75,16.32,7.68,2564,2253,,,0.335,0.244,0.56,55,66.5,,7.7,0.526,17.6,,0.246,2008,NCAA,Michigan State ,5
Mississippi State ,34,23,11,0.676,13.42,5.74,2489,2228,,,0.39,0.366,0.546,52.7,50.6,,12.5,0.522,18.3,,0.252,2008,NCAA,Mississippi State ,8
Mississippi Valley State ,33,17,16,0.515,-15.28,-9.5,2036,2174,,,0.414,0.248,0.485,48.4,54.3,,5.1,0.44,18.4,,0.281,2008,NCAA,Mississippi Valley State ,16
Mount St. Mary's ,34,19,15,0.559,-3.59,-5.12,2353,2301,,,0.387,0.304,0.535,48.7,53.2,,6.4,0.498,18.1,,0.272,2008,NCAA,Mount St. Mary's ,16
Nevada-Las Vegas ,35,27,8,0.771,10.23,4.02,2440,2181,,,0.327,0.398,0.528,48.8,60.4,,5.6,0.488,14.1,,0.244,2008,NCAA,Nevada-Las Vegas ,8
North Carolina ,39,36,3,0.923,24.17,8.12,3454,2828,,,0.38,0.226,0.571,57.2,52.5,,7,0.53,15.6,,0.288,2008,NCAA,North Carolina ,1
Notre Dame ,33,25,8,0.758,16.15,7.03,2608,2297,,,0.34,0.336,0.557,53.7,66.5,,5.9,0.522,15.5,,0.251,2008,NCAA,Notre Dame ,5
Oklahoma ,35,23,12,0.657,11.97,7.85,2378,2234,,,0.387,0.336,0.534,51.9,52.5,,7,0.501,16.8,,0.264,2008,NCAA,Oklahoma ,6
Oral Roberts ,33,24,9,0.727,5.71,-0.26,2282,2047,,,0.409,0.339,0.536,51.4,56.7,,7.2,0.503,16.8,,0.274,2008,NCAA,Oral Roberts ,13
Oregon ,32,18,14,0.563,11.68,7.65,2450,2321,,,0.367,0.398,0.583,51.3,55.4,,4.3,0.558,16.1,,0.254,2008,NCAA,Oregon ,9
Pittsburgh ,37,27,10,0.73,15.62,7.84,2731,2410,,,0.351,0.307,0.536,53,58,,6,0.508,14.9,,0.234,2008,NCAA,Pittsburgh ,4
Portland State ,33,23,10,0.697,1.72,-3.01,2438,2245,,,0.367,0.411,0.57,51.6,61.6,,6,0.545,18.5,,0.248,2008,NCAA,Portland State ,16
Purdue ,34,25,9,0.735,13.1,5.9,2367,2122,,,0.371,0.357,0.53,50.2,56,,8.8,0.491,16.3,,0.264,2008,NCAA,Purdue ,6
Saint Joseph's ,34,21,13,0.618,9.63,3.98,2484,2292,,,0.397,0.356,0.58,50,58.4,,8.3,0.546,16.8,,0.288,2008,NCAA,Saint Joseph's ,11
Saint Mary's (CA) ,32,25,7,0.781,11.39,0.36,2421,2037,,,0.392,0.383,0.554,52.2,55.4,,9.1,0.527,16.7,,0.259,2008,NCAA,Saint Mary's (CA) ,10
San Diego ,36,22,14,0.611,3.39,1.45,2365,2296,,,0.35,0.27,0.527,51,54.8,,6,0.497,19.3,,0.235,2008,NCAA,San Diego ,13
Siena ,34,23,11,0.676,4.06,-1.62,2613,2420,,,0.365,0.304,0.541,47,52.7,,5.9,0.509,13.7,,0.252,2008,NCAA,Siena ,13
South Alabama ,33,26,7,0.788,7.76,-1.21,2478,2158,,,0.463,0.342,0.573,54.6,60.6,,5.4,0.536,17.4,,0.326,2008,NCAA,South Alabama ,10
Southern California ,33,21,12,0.636,13.89,8.59,2277,2102,,,0.387,0.278,0.563,50,49.9,,7.5,0.533,19.2,,0.265,2008,NCAA,Southern California ,6
Stanford ,36,28,8,0.778,16.31,6.95,2553,2216,,,0.396,0.271,0.535,55.5,58.3,,9.3,0.498,15.6,,0.275,2008,NCAA,Stanford ,3
Temple ,34,21,13,0.618,8.16,4.57,2457,2335,,,0.353,0.394,0.575,49.2,59.5,,7.7,0.541,16.8,,0.261,2008,NCAA,Temple ,12
Tennessee ,36,31,5,0.861,18.41,7.84,2946,2519,,,0.379,0.388,0.553,50.4,61.5,,5.8,0.527,15.1,,0.25,2008,NCAA,Tennessee ,2
Texas A&M ,36,25,11,0.694,16.2,7.46,2548,2216,,,0.422,0.302,0.546,55,53.5,,7,0.522,16.4,,0.267,2008,NCAA,Texas A&M ,9
Texas-Arlington ,33,21,12,0.636,-2.87,-4.62,2422,2274,,,0.407,0.317,0.558,52.1,53.8,,4.5,0.532,20.6,,0.266,2008,NCAA,Texas-Arlington ,16
Texas ,38,31,7,0.816,18.13,8.59,2868,2467,,,0.317,0.35,0.545,51.8,48.5,,8.9,0.519,12,,0.217,2008,NCAA,Texas ,2
UCLA ,39,35,4,0.897,21.71,7.71,2867,2300,,,0.376,0.283,0.562,56.3,54.6,,8,0.525,16.1,,0.275,2008,NCAA,UCLA ,1
Vanderbilt ,34,26,8,0.765,10.96,5.54,2721,2537,,,0.383,0.381,0.577,49.5,65.3,,5.7,0.541,17.3,,0.282,2008,NCAA,Vanderbilt ,4
Villanova ,35,22,13,0.629,11,7.69,2547,2431,,,0.389,0.349,0.534,51.9,53.7,,5.4,0.491,17.4,,0.283,2008,NCAA,Villanova ,12
Washington State ,35,26,9,0.743,16.35,6.35,2325,1975,,,0.385,0.339,0.573,50.2,59.1,,5.9,0.537,15,,0.28,2008,NCAA,Washington State ,4
West Virginia ,37,26,11,0.703,17.97,7.16,2769,2352,,,0.361,0.343,0.545,51.6,58.1,,9.7,0.514,14,,0.249,2008,NCAA,West Virginia ,7
Western Kentucky ,36,29,7,0.806,9.34,0.24,2785,2403,,,0.358,0.326,0.565,52,46.1,,7.3,0.536,17.3,,0.251,2008,NCAA,Western Kentucky ,12
Winthrop ,34,22,12,0.647,3.61,-1.45,2205,1990,,,0.371,0.323,0.517,52.2,54.7,,7.2,0.498,17.1,,0.219,2008,NCAA,Winthrop ,13
Wisconsin ,36,31,5,0.861,19.59,6.73,2421,1958,,,0.399,0.318,0.544,54.3,54.1,,6.4,0.506,16.4,,0.282,2008,NCAA,Wisconsin ,3
Xavier ,37,30,7,0.811,17.17,5.47,2780,2347,,,0.424,0.365,0.586,53.9,60.3,,6.1,0.546,16.8,,0.317,2008,NCAA,Xavier ,3
Akron ,36,23,13,0.639,3.37,-2.01,2403,2171,,,0.358,0.394,0.522,49.2,54.2,,5,0.483,17.5,,0.253,2009,NCAA,Akron ,13
Alabama State ,32,22,10,0.688,-6.13,-11.2,2202,2025,,,0.35,0.314,0.539,50.3,54.5,,9,0.517,17.5,,0.222,2009,NCAA,Alabama State ,16
American ,32,24,8,0.75,-0.05,-5.49,2065,1891,,,0.318,0.381,0.556,51.9,56.1,,5.5,0.537,18.5,,0.206,2009,NCAA,American ,14
Arizona State ,35,25,10,0.714,16.7,7.82,2428,2117,,,0.387,0.453,0.597,51,65.9,,4.5,0.564,16.5,,0.285,2009,NCAA,Arizona State ,6
Arizona ,35,21,14,0.6,11.88,8.8,2529,2421,,,0.375,0.29,0.567,51.7,55.7,,6,0.53,16.5,,0.276,2009,NCAA,Arizona ,12
Binghamton ,32,23,9,0.719,-3.27,-5.62,2239,2156,,,0.416,0.326,0.53,48.5,49.2,,8.5,0.495,16.9,,0.278,2009,NCAA,Binghamton ,15
Boston College ,34,22,12,0.647,10.36,7.23,2528,2397,,,0.367,0.325,0.538,51.9,56.8,,8.1,0.497,16.3,,0.271,2009,NCAA,Boston College ,7
Brigham Young ,33,25,8,0.758,15.12,4.15,2544,2150,,,0.356,0.332,0.579,52.7,59.1,,7.2,0.547,14.6,,0.26,2009,NCAA,Brigham Young ,8
Butler ,32,26,6,0.813,10.07,2.07,2168,1854,,,0.43,0.454,0.559,52.5,59.1,,6.9,0.518,17.1,,0.311,2009,NCAA,Butler ,9
Cal State Northridge ,31,17,14,0.548,2.65,-0.14,2282,2178,,,0.338,0.337,0.544,52.4,52.4,,5.6,0.514,20.7,,0.235,2009,NCAA,Cal State Northridge ,15
University of California ,33,22,11,0.667,13.3,7.21,2472,2271,,,0.343,0.266,0.575,51.6,57.1,,3.9,0.54,15.7,,0.259,2009,NCAA,University of California ,7
Chattanooga ,35,18,17,0.514,-6.25,-3.13,2657,2687,,,0.467,0.41,0.543,51.7,54.4,,4.4,0.51,18.4,,0.307,2009,NCAA,Chattanooga ,16
Clemson ,32,23,9,0.719,15.56,6.59,2507,2177,,,0.315,0.347,0.553,51.3,52.4,,11.3,0.528,16.8,,0.217,2009,NCAA,Clemson ,7
Cleveland State ,37,26,11,0.703,6.97,2.12,2455,2203,,,0.357,0.283,0.514,50.4,58,,7,0.476,16,,0.25,2009,NCAA,Cleveland State ,13
Connecticut ,36,31,5,0.861,22.17,8.57,2819,2313,,,0.464,0.23,0.549,55.8,56.9,,13.1,0.513,15.1,,0.315,2009,NCAA,Connecticut ,1
Cornell ,31,21,10,0.677,2.71,-4.01,2281,2007,,,0.314,0.338,0.572,52.2,58.7,,7.7,0.542,16.6,,0.229,2009,NCAA,Cornell ,14
Dayton ,35,27,8,0.771,7.16,1.76,2339,2150,,,0.381,0.294,0.502,53.2,58.4,,7.6,0.47,16.9,,0.247,2009,NCAA,Dayton ,11
Duke ,37,30,7,0.811,20.1,9.07,2867,2439,,,0.414,0.35,0.548,51.9,50.7,,7.7,0.505,14.8,,0.301,2009,NCAA,Duke ,2
East Tennessee State ,34,23,11,0.676,3.21,-1.87,2657,2383,,,0.396,0.289,0.547,50.9,45.4,,7.5,0.51,16.4,,0.281,2009,NCAA,East Tennessee State ,16
Florida State ,35,25,10,0.714,11.37,7.91,2392,2271,,,0.392,0.335,0.535,50.6,51.6,,11.5,0.492,19.7,,0.284,2009,NCAA,Florida State ,5
Gonzaga ,34,28,6,0.824,17.95,3.55,2684,2142,,,0.351,0.324,0.58,52.2,52.9,,10,0.551,14.3,,0.252,2009,NCAA,Gonzaga ,4
Illinois ,34,24,10,0.706,14.38,6.73,2204,1944,,,0.225,0.288,0.534,49.9,69.3,,7.3,0.511,16.9,,0.16,2009,NCAA,Illinois ,5
Kansas ,35,27,8,0.771,18.02,7.9,2674,2290,,,0.395,0.296,0.569,55.1,58.7,,8.7,0.532,17.8,,0.287,2009,NCAA,Kansas ,3
Louisiana State ,35,27,8,0.771,11.87,3.27,2617,2316,,,0.354,0.273,0.535,53.5,56.5,,11.7,0.499,14.8,,0.253,2009,NCAA,Louisiana State ,8
Louisville ,37,31,6,0.838,20.87,8.41,2748,2287,,,0.314,0.378,0.546,51.8,62.4,,11.7,0.527,16.8,,0.201,2009,NCAA,Louisville ,1
Marquette ,35,25,10,0.714,15.06,7.87,2739,2432,,,0.454,0.347,0.557,52,57.5,,5.7,0.512,14.2,,0.33,2009,NCAA,Marquette ,6
Maryland ,35,21,14,0.6,11.1,8.99,2512,2419,,,0.28,0.277,0.509,48.9,55.3,,8,0.47,14.8,,0.212,2009,NCAA,Maryland ,10
Memphis ,37,33,4,0.892,20.92,4.63,2779,2176,,,0.399,0.313,0.537,54.2,53.7,,11.9,0.501,15.2,,0.275,2009,NCAA,Memphis ,2
Michigan State ,38,31,7,0.816,17.71,9.37,2737,2420,,,0.411,0.266,0.536,56.8,63.5,,6,0.498,17.3,,0.287,2009,NCAA,Michigan State ,2
Michigan ,35,21,14,0.6,11.9,9.74,2341,2213,,,0.285,0.477,0.54,47.5,66.7,,5.5,0.505,15.6,,0.216,2009,NCAA,Michigan ,10
Minnesota ,33,22,11,0.667,11.32,7.19,2189,2032,,,0.345,0.324,0.531,51.5,59.6,,13.6,0.494,18.8,,0.247,2009,NCAA,Minnesota ,10
Mississippi State ,36,23,13,0.639,9.1,4.62,2677,2479,,,0.412,0.398,0.544,49.4,50.2,,13.2,0.504,17.4,,0.292,2009,NCAA,Mississippi State ,13
Missouri ,38,31,7,0.816,19.56,6.72,3096,2571,,,0.366,0.313,0.554,49.6,62.2,,7.2,0.527,13.8,,0.246,2009,NCAA,Missouri ,3
Morehead State ,36,20,16,0.556,-3.14,-3.61,2511,2411,,,0.416,0.286,0.53,55.9,53.6,,8.1,0.485,19,,0.3,2009,NCAA,Morehead State ,16
